{   'action_dim': 6,
    'alpha': 0.7,

Sync from RL --> Nevo
#Games: 9579 #Frames: 3726345  Train_Max: 3595.95  Test_Score: 3592.71  Avg: 3597.61  ENV:  Hopper-v2  DDPG Reward: 1180.08  PG Loss: -390.3381

Sync from RL --> Nevo
#Games: 9610 #Frames: 3738662  Train_Max: 3595.79  Test_Score: 3597.98  Avg: 3596.75  ENV:  Hopper-v2  DDPG Reward: 2116.71  PG Loss: -390.8589

Progress Saved
Sync from RL --> Nevo
#Games: 9641 #Frames: 3748868  Train_Max: 3596.42  Test_Score: 3598.88  Avg: 3596.77  ENV:  Hopper-v2  DDPG Reward: 1631.49  PG Loss: -391.1145

Sync from RL --> Nevo
#Games: 9672 #Frames: 3760142  Train_Max: 3600.99  Test_Score: 3597.74  Avg: 3596.85  ENV:  Hopper-v2  DDPG Reward: 1780.51  PG Loss: -390.7929

Sync from RL --> Nevo
#Games: 9703 #Frames: 3770851  Train_Max: 3596.87  Test_Score: 3597.32  Avg: 3596.97  ENV:  Hopper-v2  DDPG Reward: 1393.52  PG Loss: -390.3161

Sync from RL --> Nevo
#Games: 9734 #Frames: 3783926  Train_Max: 3591.02  Test_Score: 3595.08  Avg: 3596.71  ENV:  Hopper-v2  DDPG Reward: 1040.74  PG Loss: -389.8386

Sync from RL --> Nevo
#Games: 9765 #Frames: 3795982  Train_Max: 3596.65  Test_Score: 3596.56  Avg: 3596.61  ENV:  Hopper-v2  DDPG Reward: 1294.93  PG Loss: -389.8514

Sync from RL --> Nevo
#Games: 9796 #Frames: 3807968  Train_Max: 3598.25  Test_Score: 3597.16  Avg: 3596.56  ENV:  Hopper-v2  DDPG Reward: 2308.39  PG Loss: -390.2393

Sync from RL --> Nevo
#Games: 9827 #Frames: 3820715  Train_Max: 3599.98  Test_Score: 3599.74  Avg: 3596.39  ENV:  Hopper-v2  DDPG Reward: 1917.41  PG Loss: -390.1721

Progress Saved
Sync from RL --> Nevo
#Games: 9858 #Frames: 3832223  Train_Max: 3600.11  Test_Score: 3590.20  Avg: 3596.87  ENV:  Hopper-v2  DDPG Reward: 1611.02  PG Loss: -390.1866

Sync from RL --> Nevo
#Games: 9889 #Frames: 3843604  Train_Max: 3600.56  Test_Score: 3600.11  Avg: 3596.34  ENV:  Hopper-v2  DDPG Reward: 1190.14  PG Loss: -390.2935

Sync from RL --> Nevo
#Games: 9920 #Frames: 3856641  Train_Max: 3598.07  Test_Score: 3595.43  Avg: 3597.08  ENV:  Hopper-v2  DDPG Reward: 876.50  PG Loss: -390.6649

Sync from RL --> Nevo
#Games: 9951 #Frames: 3867580  Train_Max: 3602.90  Test_Score: 3595.49  Avg: 3596.82  ENV:  Hopper-v2  DDPG Reward: 970.17  PG Loss: -390.9276

Sync from RL --> Nevo
#Games: 9982 #Frames: 3880132  Train_Max: 3599.39  Test_Score: 3594.74  Avg: 3596.48  ENV:  Hopper-v2  DDPG Reward: 822.23  PG Loss: -391.7114

Sync from RL --> Nevo
#Games: 10013 #Frames: 3892212  Train_Max: 3596.40  Test_Score: 3595.05  Avg: 3596.18  ENV:  Hopper-v2  DDPG Reward: 838.83  PG Loss: -393.0323

Progress Saved
Sync from RL --> Nevo
#Games: 10044 #Frames: 3901613  Train_Max: 3593.47  Test_Score: 3595.50  Avg: 3595.96  ENV:  Hopper-v2  DDPG Reward: 983.52  PG Loss: -393.6136

Sync from RL --> Nevo
#Games: 10075 #Frames: 3912581  Train_Max: 3596.93  Test_Score: 3596.62  Avg: 3596.00  ENV:  Hopper-v2  DDPG Reward: 1233.21  PG Loss: -393.6609

Sync from RL --> Nevo
#Games: 10106 #Frames: 3922185  Train_Max: 3598.30  Test_Score: 3596.95  Avg: 3596.00  ENV:  Hopper-v2  DDPG Reward: 1259.30  PG Loss: -394.1973

Sync from RL --> Nevo
#Games: 10137 #Frames: 3931982  Train_Max: 3600.55  Test_Score: 3593.64  Avg: 3595.98  ENV:  Hopper-v2  DDPG Reward: 1176.47  PG Loss: -394.6120

Sync from RL --> Nevo
#Games: 10168 #Frames: 3942107  Train_Max: 3595.05  Test_Score: 3597.39  Avg: 3595.37  ENV:  Hopper-v2  DDPG Reward: 1225.00  PG Loss: -395.0402

Sync from RL --> Nevo
#Games: 10199 #Frames: 3952085  Train_Max: 3590.82  Test_Score: 3595.95  Avg: 3596.09  ENV:  Hopper-v2  DDPG Reward: 590.05  PG Loss: -395.2371

Sync from RL --> Nevo
#Games: 10230 #Frames: 3961466  Train_Max: 3592.94  Test_Score: 3595.84  Avg: 3595.68  ENV:  Hopper-v2  DDPG Reward: 984.37  PG Loss: -395.1923

Progress Saved
Sync from RL --> Nevo
#Games: 10261 #Frames: 3971450  Train_Max: 3601.07  Test_Score: 3594.64  Avg: 3595.72  ENV:  Hopper-v2  DDPG Reward: 1696.13  PG Loss: -394.8510

Sync from RL --> Nevo
#Games: 10292 #Frames: 3982755  Train_Max: 3594.46  Test_Score: 3596.52  Avg: 3595.63  ENV:  Hopper-v2  DDPG Reward: 883.67  PG Loss: -394.5478

Sync from RL --> Nevo
#Games: 10323 #Frames: 3991957  Train_Max: 3598.07  Test_Score: 3597.99  Avg: 3595.81  ENV:  Hopper-v2  DDPG Reward: 1072.67  PG Loss: -394.6545

Sync from RL --> Nevo
#Games: 10354 #Frames: 4001859  Train_Max: 3590.26  Test_Score: 3593.45  Avg: 3596.10  ENV:  Hopper-v2  DDPG Reward: 1127.64  PG Loss: -394.6738

#Frames: 3494308  Train_Max: 2697.73  Test_Score: 2644.12  Avg: 2679.82  ENV:  Walker2d-v2  DDPG Reward: 947.00  PG Loss: -496.8035

Sync from RL --> Nevo
#Games: 7038 #Frames: 3523512  Train_Max: 2405.68  Test_Score: 3144.61  Avg: 2639.44  ENV:  Walker2d-v2  DDPG Reward: 558.38  PG Loss: -499.4829

Progress Saved
Sync from RL --> Nevo
#Games: 7089 #Frames: 3549010  Train_Max: 3100.63  Test_Score: 3052.26  Avg: 2716.42  ENV:  Walker2d-v2  DDPG Reward: 579.17  PG Loss: -509.2678

Sync from RL --> Nevo
#Games: 7140 #Frames: 3581687  Train_Max: 2871.99  Test_Score: 2716.04  Avg: 2739.44  ENV:  Walker2d-v2  DDPG Reward: 406.07  PG Loss: -522.6459

Sync from RL --> Nevo
#Games: 7191 #Frames: 3616382  Train_Max: 2682.16  Test_Score: 2359.74  Avg: 2716.51  ENV:  Walker2d-v2  DDPG Reward: 1459.26  PG Loss: -531.4042

Sync from RL --> Nevo
#Games: 7242 #Frames: 3640966  Train_Max: 2609.34  Test_Score: 2472.31  Avg: 2660.52  ENV:  Walker2d-v2  DDPG Reward: 865.45  PG Loss: -537.6115

Progress Saved
Sync from RL --> Nevo
#Games: 7293 #Frames: 3670707  Train_Max: 2541.26  Test_Score: 2471.38  Avg: 2601.18  ENV:  Walker2d-v2  DDPG Reward: 2631.56  PG Loss: -541.0245

Sync from RL --> Nevo
#Games: 7344 #Frames: 3699977  Train_Max: 2490.44  Test_Score: 3025.76  Avg: 2598.09  ENV:  Walker2d-v2  DDPG Reward: 1286.04  PG Loss: -539.6291

Sync from RL --> Nevo
#Games: 7395 #Frames: 3729012  Train_Max: 2867.64  Test_Score: 2812.45  Avg: 2595.37  ENV:  Walker2d-v2  DDPG Reward: 1343.64  PG Loss: -536.7744

Sync from RL --> Nevo
#Games: 7446 #Frames: 3755948  Train_Max: 2910.14  Test_Score: 1631.76  Avg: 2651.78  ENV:  Walker2d-v2  DDPG Reward: 986.46  PG Loss: -536.7917

Progress Saved
Sync from RL --> Nevo
#Games: 7497 #Frames: 3779789  Train_Max: 3095.32  Test_Score: 2516.13  Avg: 2633.04  ENV:  Walker2d-v2  DDPG Reward: 981.61  PG Loss: -533.4904

Sync from RL --> Nevo
#Games: 7548 #Frames: 3804144  Train_Max: 3028.82  Test_Score: 3037.26  Avg: 2620.24  ENV:  Walker2d-v2  DDPG Reward: 973.96  PG Loss: -530.5843

Sync from RL --> Nevo
#Games: 7599 #Frames: 3833193  Train_Max: 3039.80  Test_Score: 2982.61  Avg: 2609.51  ENV:  Walker2d-v2  DDPG Reward: 1293.93  PG Loss: -527.1413

Sync from RL --> Nevo
#Games: 7650 #Frames: 3867527  Train_Max: 2986.49  Test_Score: 3030.49  Avg: 2602.54  ENV:  Walker2d-v2  DDPG Reward: 355.00  PG Loss: -527.2926

Progress Saved
Sync from RL --> Nevo
#Games: 7701 #Frames: 3896680  Train_Max: 3100.39  Test_Score: 2790.32  Avg: 2633.99  ENV:  Walker2d-v2  DDPG Reward: 269.98  PG Loss: -530.3360

Sync from RL --> Nevo
#Games: 7752 #Frames: 3928256  Train_Max: 2801.81  Test_Score: 1569.86  Avg: 2677.05  ENV:  Walker2d-v2  DDPG Reward: 1013.95  PG Loss: -532.7292

Sync from RL --> Nevo
#Games: 7803 #Frames: 3960299  Train_Max: 2687.05  Test_Score: 2108.54  Avg: 2586.80  ENV:  Walker2d-v2  DDPG Reward: 825.82  PG Loss: -536.8386

Progress Saved
Sync from RL --> Nevo
#Games: 7854 #Frames: 3989014  Train_Max: 2587.61  Test_Score: 2915.79  Avg: 2550.52  ENV:  Walker2d-v2  DDPG Reward: 1963.66  PG Loss: -538.9152

Sync from RL --> Nevo
#Games: 7905 #Frames: 4023078  Train_Max: 3119.36  Test_Score: 3041.15  Avg: 2539.52  ENV:  Walker2d-v2  DDPG Reward: 438.12  PG Loss: -541.1198

Sync from RL --> Nevo
#Games: 7956 #Frames: 4050890  Train_Max: 2643.99  Test_Score: 3201.16  Avg: 2562.39  ENV:  Walker2d-v2  DDPG Reward: 688.76  PG Loss: -542.0165

Sync from RL --> Nevo
#Games: 8007 #Frames: 4076690  Train_Max: 2692.31  Test_Score: 2525.09  Avg: 2719.33  ENV:  Walker2d-v2  DDPG Reward: 1603.45  PG Loss: -543.3394

Progress Saved
Sync from RL --> Nevo
#Games: 8058 #Frames: 4093127  Train_Max: 2253.79  Test_Score: 2975.30  Avg: 2720.23  ENV:  Walker2d-v2  DDPG Reward: 2686.69  PG Loss: -542.5314

Sync from RL --> Nevo
#Games: 8109 #Frames: 4118102  Train_Max: 3180.92  Test_Score: 2546.56  Avg: 2714.03  ENV:  Walker2d-v2  DDPG Reward: 2961.46  PG Loss: -541.0484

Sync from RL --> Nevo
#Games: 8160 #Frames: 4144582  Train_Max: 4138.16  Test_Score: 2604.47  Avg: 2670.43  ENV:  Walker2d-v2  DDPG Reward: 590.48  PG Loss: -540.5424

Sync from RL --> Nevo
#Games: 8211 #Frames: 4165228  Train_Max: 3476.32  Test_Score: 2964.08  Avg: 2627.83  ENV:  Walker2d-v2  DDPG Reward: 941.92  PG Loss: -542.4818

Progress Saved
Sync from RL --> Nevo
#Games: 8262 #Frames: 4189665  Train_Max: 3852.54  Test_Score: 1845.05  Avg: 2645.20  ENV:  Walker2d-v2  DDPG Reward: 285.43  PG Loss: -548.9401

Sync from RL --> Nevo
#Games: 8313 #Frames: 4216952  Train_Max: 3598.08  Test_Score: 2947.24  Avg: 2672.72  ENV:  Walker2d-v2  DDPG Reward: 485.47  PG Loss: -560.9417

Sync from RL --> Nevo
#Games: 8364 #Frames: 4238968  Train_Max: 3962.48  Test_Score: 3277.12  Avg: 2756.59  ENV:  Walker2d-v2  DDPG Reward: 768.06  PG Loss: -568.5389

Sync from RL --> Nevo
#Games: 8415 #Frames: 4261400  Train_Max: 3769.05  Test_Score: 3491.57  Avg: 2792.72  ENV:  Walker2d-v2  DDPG Reward: 190.25  PG Loss: -574.8080

Progress Saved
Sync from RL --> Nevo
#Games: 8466 #Frames: 4283979  Train_Max: 4518.42  Test_Score: 3879.43  Avg: 2837.77  ENV:  Walker2d-v2  DDPG Reward: 445.81  PG Loss: -582.8691

Sync from RL --> Nevo
#Games: 8517 #Frames: 4309534  Train_Max: 5398.81  Test_Score: 5050.47  Avg: 2905.59  ENV:  Walker2d-v2  DDPG Reward: 724.02  PG Loss: -594.3405

Sync from RL --> Nevo
#Games: 8568 #Frames: 4339609  Train_Max: 4782.64  Test_Score: 2795.64  Avg: 3158.13  ENV:  Walker2d-v2  DDPG Reward: 254.05  PG Loss: -603.5443

Sync from RL --> Nevo
#Games: 8619 #Frames: 4361282  Train_Max: 3730.59  Test_Score: 2991.68  Avg: 3140.16  ENV:  Walker2d-v2  DDPG Reward: 470.07  PG Loss: -611.3499

Progress Saved
Sync from RL --> Nevo
#Games: 8670 #Frames: 4391467  Train_Max: 4338.37  Test_Score: 4950.47  Avg: 3184.68  ENV:  Walker2d-v2  DDPG Reward: 806.55  PG Loss: -623.0606

Sync from RL --> Nevo
#Games: 8721 #Frames: 4426037  Train_Max: 5130.27  Test_Score: 3383.31  Avg: 3419.28  ENV:  Walker2d-v2  DDPG Reward: 667.48  PG Loss: -633.5621

Sync from RL --> Nevo
#Games: 8772 #Frames: 4460875  Train_Max: 5159.34  Test_Score: 3782.06  Avg: 3461.20  ENV:  Walker2d-v2  DDPG Reward: 590.52  PG Loss: -646.6086

Sync from RL --> Nevo
#Games: 8823 #Frames: 4487176  Train_Max: 5267.23  Test_Score: 3855.48  Avg: 3654.90  ENV:  Walker2d-v2  DDPG Reward: 325.13  PG Loss: -656.4542

Progress Saved
Sync from RL --> Nevo
#Games: 8874 #Frames: 4515987  Train_Max: 5263.82  Test_Score: 5218.43  Avg: 3745.72  ENV:  Walker2d-v2  DDPG Reward: 276.07  PG Loss: -662.8282

Sync from RL --> Nevo
#Games: 8925 #Frames: 4542188  Train_Max: 5273.69  Test_Score: 5168.45  Avg: 3939.85  ENV:  Walker2d-v2  DDPG Reward: 196.13  PG Loss: -669.6765

Sync from RL --> Nevo
#Games: 8976 #Frames: 4582103  Train_Max: 5252.16  Test_Score: 4386.46  Avg: 4107.54  ENV:  Walker2d-v2  DDPG Reward: 843.69  PG Loss: -677.5439

Sync from RL --> Nevo
#Games: 9027 #Frames: 4610734  Train_Max: 4414.96  Test_Score: 5365.20  Avg: 4158.24  ENV:  Walker2d-v2  DDPG Reward: 238.81  PG Loss: -685.0171

Progress Saved
Sync from RL --> Nevo
#Games: 9078 #Frames: 4637966  Train_Max: 5337.74  Test_Score: 5491.61  Avg: 4189.72  ENV:  Walker2d-v2  DDPG Reward: 1443.83  PG Loss: -691.9395

Sync from RL --> Nevo
#Games: 9129 #Frames: 4662451  Train_Max: 5345.11  Test_Score: 5472.53  Avg: 4459.31  ENV:  Walker2d-v2  DDPG Reward: 901.42  PG Loss: -699.3657

Sync from RL --> Nevo
#Games: 9180 #Frames: 4689562  Train_Max: 5503.99  Test_Score: 4980.64  Avg: 4707.40  ENV:  Walker2d-v2  DDPG Reward: 972.85  PG Loss: -708.4979

Sync from RL --> Nevo
#Games: 9231 #Frames: 4720618  Train_Max: 5482.70  Test_Score: 5501.23  Avg: 4710.42  ENV:  Walker2d-v2  DDPG Reward: 271.29  PG Loss: -713.4383

Progress Saved
Sync from RL --> Nevo
#Games: 9282 #Frames: 4748447  Train_Max: 5478.25  Test_Score: 5486.36  Avg: 4922.21  ENV:  Walker2d-v2  DDPG Reward: 1118.44  PG Loss: -717.6348

Sync from RL --> Nevo
#Games: 9333 #Frames: 4778028  Train_Max: 5499.34  Test_Score: 5474.38  Avg: 5092.64  ENV:  Walker2d-v2  DDPG Reward: 825.40  PG Loss: -721.5781

Sync from RL --> Nevo
#Games: 9384 #Frames: 4801486  Train_Max: 5406.31  Test_Score: 4520.20  Avg: 5254.53  ENV:  Walker2d-v2  DDPG Reward: 2275.04  PG Loss: -722.6760

Sync from RL --> Nevo
#Games: 9435 #Frames: 4833615  Train_Max: 5481.91  Test_Score: 4210.46  Avg: 5184.70  ENV:  Walker2d-v2  DDPG Reward: 623.31  PG Loss: -721.6569

Progress Saved
Sync from RL --> Nevo
#Games: 9486 #Frames: 4860323  Train_Max: 5312.39  Test_Score: 5493.84  Avg: 5088.90  ENV:  Walker2d-v2  DDPG Reward: 1207.96  PG Loss: -715.9911

Sync from RL --> Nevo
#Games: 9537 #Frames: 4888857  Train_Max: 5484.04  Test_Score: 5479.61  Avg: 5199.64  ENV:  Walker2d-v2  DDPG Reward: 1273.00  PG Loss: -711.3458

Sync from RL --> Nevo
#Games: 9588 #Frames: 4916111  Train_Max: 5493.55  Test_Score: 5481.22  Avg: 5211.08  ENV:  Walker2d-v2  DDPG Reward: 543.70  PG Loss: -708.3638

Sync from RL --> Nevo
#Games: 9639 #Frames: 4951823  Train_Max: 5486.38  Test_Score: 3933.38  Avg: 5210.04  ENV:  Walker2d-v2  DDPG Reward: 499.53  PG Loss: -706.5085

Progress Saved
Sync from RL --> Nevo
#Games: 9690 #Frames: 4979453  Train_Max: 5496.11  Test_Score: 5448.06  Avg: 5056.13  ENV:  Walker2d-v2  DDPG Reward: 245.00  PG Loss: -703.9736

Sync from RL --> Nevo
#Games: 9741 #Frames: 5013180  Train_Max: 5484.04  Test_Score: 4839.51  Avg: 5102.87  ENV:  Walker2d-v2  DDPG Reward: 519.25  PG Loss: -702.6033

Sync from RL --> Nevo
#Games: 9792 #Frames: 5039525  Train_Max: 4879.54  Test_Score: 3817.89  Avg: 5036.70  ENV:  Walker2d-v2  DDPG Reward: 533.00  PG Loss: -703.4592

Sync from RL --> Nevo
#Games: 9843 #Frames: 5071457  Train_Max: 5487.38  Test_Score: 4722.15  Avg: 4869.85  ENV:  Walker2d-v2  DDPG Reward: 639.29  PG Loss: -702.6385

Progress Saved
Sync from RL --> Nevo
#Games: 9894 #Frames: 5098550  Train_Max: 4643.82  Test_Score: 4530.11  Avg: 4794.63  ENV:  Walker2d-v2  DDPG Reward: 566.19  PG Loss: -701.6570

Sync from RL --> Nevo
#Games: 9945 #Frames: 5125227  Train_Max: 5465.08  Test_Score: 5471.89  Avg: 4795.62  ENV:  Walker2d-v2  DDPG Reward: 273.13  PG Loss: -703.9335

Sync from RL --> Nevo
#Games: 9996 #Frames: 5149096  Train_Max: 5647.03  Test_Score: 3722.56  Avg: 4921.76  ENV:  Walker2d-v2  DDPG Reward: 279.27  PG Loss: -708.1511

Sync from RL --> Nevo
#Games: 10047 #Frames: 5181601  Train_Max: 5528.06  Test_Score: 4562.00  Avg: 4744.64  ENV:  Walker2d-v2  DDPG Reward: 1357.45  PG Loss: -710.4952

Progress Saved
Sync from RL --> Nevo
#Games: 10098 #Frames: 5208670  Train_Max: 5118.99  Test_Score: 5476.04  Avg: 4652.87  ENV:  Walker2d-v2  DDPG Reward: 1221.72  PG Loss: -710.1788

Sync from RL --> Nevo
#Games: 10149 #Frames: 5237024  Train_Max: 5507.70  Test_Score: 5472.69  Avg: 4652.36  ENV:  Walker2d-v2  DDPG Reward: 431.76  PG Loss: -707.8524

Sync from RL --> Nevo
#Games: 10200 #Frames: 5266887  Train_Max: 5559.20  Test_Score: 4636.76  Avg: 4806.29  ENV:  Walker2d-v2  DDPG Reward: 434.79  PG Loss: -705.7198

Sync from RL --> Nevo
#Games: 10251 #Frames: 5295171  Train_Max: 5550.42  Test_Score: 4983.17  Avg: 4725.16  ENV:  Walker2d-v2  DDPG Reward: 1074.87  PG Loss: -704.5648

Progress Saved
Sync from RL --> Nevo
#Games: 10302 #Frames: 5323131  Train_Max: 5566.16  Test_Score: 3651.44  Avg: 4739.52  ENV:  Walker2d-v2  DDPG Reward: 298.42  PG Loss: -706.1261

Sync from RL --> Nevo
#Games: 10353 #Frames: 5347212  Train_Max: 5559.86  Test_Score: 5561.85  Avg: 4722.88  ENV:  Walker2d-v2  DDPG Reward: 33.78  PG Loss: -709.6608

Sync from RL --> Nevo
#Games: 10404 #Frames: 5370303  Train_Max: 5286.54  Test_Score: 5261.80  Avg: 4806.85  ENV:  Walker2d-v2  DDPG Reward: 1183.37  PG Loss: -712.6575

Progress Saved
Sync from RL --> Nevo
#Games: 10455 #Frames: 5404430  Train_Max: 5394.11  Test_Score: 4133.02  Avg: 4880.02  ENV:  Walker2d-v2  DDPG Reward: 2890.14  PG Loss: -718.3598

Sync from RL --> Nevo
#Games: 10506 #Frames: 5438292  Train_Max: 5305.21  Test_Score: 5393.30  Avg: 4746.13  ENV:  Walker2d-v2  DDPG Reward: 289.18  PG Loss: -720.2568

Sync from RL --> Nevo
#Games: 10557 #Frames: 5466840  Train_Max: 5221.80  Test_Score: 3809.90  Avg: 4913.20  ENV:  Walker2d-v2  DDPG Reward: 3127.97  PG Loss: -718.8597

Sync from RL --> Nevo
#Games: 10608 #Frames: 5498288  Train_Max: 5409.87  Test_Score: 5369.95  Avg: 4837.99  ENV:  Walker2d-v2  DDPG Reward: 1394.71  PG Loss: -715.4870

Progress Saved
Sync from RL --> Nevo
#Games: 10659 #Frames: 5526851  Train_Max: 5395.58  Test_Score: 5341.59  Avg: 4827.39  ENV:  Walker2d-v2  DDPG Reward: 4980.49  PG Loss: -711.6642

Sync from RL --> Nevo
#Games: 10710 #Frames: 5561985  Train_Max: 5508.92  Test_Score: 4566.40  Avg: 4814.28  ENV:  Walker2d-v2  DDPG Reward: 2192.00  PG Loss: -707.6020

Sync from RL --> Nevo
#Games: 10761 #Frames: 5597561  Train_Max: 5558.34  Test_Score: 5545.07  Avg: 4807.24  ENV:  Walker2d-v2  DDPG Reward: 417.64  PG Loss: -701.5618

Sync from RL --> Nevo
#Games: 10812 #Frames: 5627952  Train_Max: 5532.03  Test_Score: 5521.16  Avg: 4863.43  ENV:  Walker2d-v2  DDPG Reward: 1766.50  PG Loss: -697.7377

Progress Saved
Sync from RL --> Nevo
#Games: 10863 #Frames: 5655447  Train_Max: 5540.62  Test_Score: 4575.32  Avg: 5050.40  ENV:  Walker2d-v2  DDPG Reward: 476.26  PG Loss: -696.6837

Sync from RL --> Nevo
#Games: 10914 #Frames: 5679484  Train_Max: 5541.24  Test_Score: 5547.34  Avg: 4951.75  ENV:  Walker2d-v2  DDPG Reward: 150.71  PG Loss: -694.1928

Sync from RL --> Nevo
#Games: 10965 #Frames: 5705507  Train_Max: 4588.82  Test_Score: 4566.96  Avg: 4980.31  ENV:  Walker2d-v2  DDPG Reward: 309.43  PG Loss: -692.9625

Sync from RL --> Nevo
#Games: 11016 #Frames: 5731214  Train_Max: 4634.61  Test_Score: 3125.95  Avg: 5023.70  ENV:  Walker2d-v2  DDPG Reward: 1204.46  PG Loss: -693.8989

Progress Saved
Sync from RL --> Nevo
#Games: 11067 #Frames: 5756085  Train_Max: 5477.77  Test_Score: 3767.86  Avg: 4796.97  ENV:  Walker2d-v2  DDPG Reward: 358.05  PG Loss: -696.7941

Sync from RL --> Nevo
#Games: 11118 #Frames: 5782724  Train_Max: 4111.00  Test_Score: 3836.38  Avg: 4792.76  ENV:  Walker2d-v2  DDPG Reward: 359.89  PG Loss: -703.0156

Sync from RL --> Nevo
#Games: 11169 #Frames: 5811284  Train_Max: 5482.09  Test_Score: 5509.34  Avg: 4639.41  ENV:  Walker2d-v2  DDPG Reward: 353.48  PG Loss: -709.5257

Sync from RL --> Nevo
#Games: 11220 #Frames: 5842076  Train_Max: 5487.08  Test_Score: 5504.43  Avg: 4656.18  ENV:  Walker2d-v2  DDPG Reward: 812.30  PG Loss: -713.7482

Progress Saved
Sync from RL --> Nevo
#Games: 11271 #Frames: 5865492  Train_Max: 5494.56  Test_Score: 3899.14  Avg: 4749.98  ENV:  Walker2d-v2  DDPG Reward: 1868.65  PG Loss: -714.7205

Sync from RL --> Nevo
#Games: 11322 #Frames: 5891121  Train_Max: 5480.86  Test_Score: 5492.45  Avg: 4585.39  ENV:  Walker2d-v2  DDPG Reward: 1612.69  PG Loss: -715.5342

Sync from RL --> Nevo
#Games: 11373 #Frames: 5915896  Train_Max: 5489.12  Test_Score: 5488.29  Avg: 4582.52  ENV:  Walker2d-v2  DDPG Reward: 1164.06  PG Loss: -714.1737

Sync from RL --> Nevo
#Games: 11424 #Frames: 5944138  Train_Max: 5500.46  Test_Score: 5485.21  Avg: 4673.82  ENV:  Walker2d-v2  DDPG Reward: 1032.59  PG Loss: -712.9498

Progress Saved
Sync from RL --> Nevo
#Games: 11475 #Frames: 5972995  Train_Max: 5491.76  Test_Score: 3807.36  Avg: 4667.60  ENV:  Walker2d-v2  DDPG Reward: 1741.82  PG Loss: -709.1779

Sync from RL --> Nevo
#Games: 11526 #Frames: 6003404  Train_Max: 4616.85  Test_Score: 5484.50  Avg: 4591.64  ENV:  Walker2d-v2  DDPG Reward: 1450.94  PG Loss: -708.0195

/home/qxx/anaconda3/envs/NDeepRL/lib/python3.9/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': True,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'Swimmer-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.1,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': True,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': './Tensorboard-Swimmer-v2-01',
    'save_periodic': False,
    'seed': 7,
    'state_dim': 8,
    'tau': 0.001,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Swimmer-v2  State_dim: 8  Action_dim: 2
#Games: 11 #Frames: 11000  Train_Max: 45.75  Test_Score: 46.27  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 16.03  PG Loss: -3.0626

#Games: 22 #Frames: 22000  Train_Max: 46.08  Test_Score: 45.48  Avg: 46.27  ENV:  Swimmer-v2  DDPG Reward: 29.30  PG Loss: -9.5389

#Games: 33 #Frames: 33000  Train_Max: 51.04  Test_Score: 44.33  Avg: 45.88  ENV:  Swimmer-v2  DDPG Reward: 24.16  PG Loss: -15.6161

#Games: 44 #Frames: 44000  Train_Max: 44.76  Test_Score: 44.20  Avg: 45.36  ENV:  Swimmer-v2  DDPG Reward: 38.33  PG Loss: -21.7625

#Games: 55 #Frames: 55000  Train_Max: 74.17  Test_Score: 51.35  Avg: 45.07  ENV:  Swimmer-v2  DDPG Reward: 16.28  PG Loss: -26.6826

#Games: 66 #Frames: 66000  Train_Max: 51.51  Test_Score: 52.95  Avg: 46.33  ENV:  Swimmer-v2  DDPG Reward: 8.36  PG Loss: -30.4271

#Games: 77 #Frames: 77000  Train_Max: 67.77  Test_Score: 54.10  Avg: 47.43  ENV:  Swimmer-v2  DDPG Reward: -33.14  PG Loss: -32.2019

#Games: 88 #Frames: 88000  Train_Max: 46.59  Test_Score: 54.47  Avg: 48.38  ENV:  Swimmer-v2  DDPG Reward: 28.88  PG Loss: -32.1109

#Games: 99 #Frames: 99000  Train_Max: 55.63  Test_Score: 63.37  Avg: 49.14  ENV:  Swimmer-v2  DDPG Reward: 19.25  PG Loss: -31.8484

Sync from RL --> Nevo
